sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5;LOI;v;cr;co;ni;cu;zn;ga;rb;sr;y;zr;nb;ba;la;ce;sc;pb;th;as;s
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5;LOI;V;Cr;Co;Ni;Cu;Zn;Ga;Rb;Sr;Y;Zr;Nb;Ba;La;Ce;Sc;Pb;Th;As;S
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reno643;711546.22;4909155.93;0;64602.92;34298.66;44.303121;11.651062;49.86;0.54;12.2;4.65;0.13;2.95;12.61;0.93;1.95;0.13;14.04;75;101;12;55;34;83;16;96;314;23;180;12;359;30;43;19;19;8;12;1263
Reno644;708510.01;4904344.65;0;61566.71;29487.38;44.260727;11.611119;54.27;0.76;10.79;4.04;0.13;3.78;11.76;1.53;1.84;0.2;10.89;68;105;8;40;24;64;18;84;261;39;351;97;285;31;61;13;17;14;8;652
Reno645;706730.84;4906549.16;0;59787.54;31691.89;44.281061;11.589724;49.27;0.58;13.16;5.01;0.13;3.15;12.14;0.83;2.11;0.11;13.51;82;101;10;54;36;88;19;100;293;19;123;11;331;17;52;19;13;5;5;1121
Reno646;705046.63;4904937.58;0;58103.33;30080.31;44.267043;11.568007;53.54;0.54;11.77;4.38;0.13;2.68;12.1;1.22;1.78;0.14;11.71;70;93;7;41;34;78;12;78;284;25;182;11;627;22;51;18;13;5;2;1260
Reno647;700480.35;4898443.61;0;53537.05;23586.34;44.209905;11.508367;50.34;0.58;13.31;5.13;0.13;2.95;11.29;0.84;2.07;0.11;13.25;85;108;13;58;36;92;19;108;315;25;194;13;550;21;47;16;17;6;6;1266
Reno648;695522.65;4889034.2;0;48579.35;14176.93;44.126613;11.442871;53.29;0.54;12.46;4.69;0.12;2.95;10.4;1.23;1.95;0.12;12.23;78;102;12;58;31;89;16;101;300;22;175;12;427;22;49;15;12;10;12;1153
Reno649;696471.54;4891807.33;0;49528.24;16950.06;44.151303;11.455755;52.77;0.58;13.58;5.03;0.13;2.94;9.92;1;2.09;0.12;11.84;87;102;13;58;34;87;14;104;278;23;167;15;426;28;47;17;14;9;6;1036
Reno650;697586.37;4893561.17;0;50643.07;18703.9;44.166778;11.470341;53.15;0.54;12.93;4.85;0.13;2.77;10.69;1.06;1.98;0.11;11.78;77;101;13;54;34;86;19;95;290;19;156;13;473;30;67;17;14;14;3;1178
Reno651;692652.44;4888489.33;0;45709.14;13632.06;44.122473;11.406828;52.73;0.63;14.29;5.77;0.17;2.7;8.81;0.87;2.16;0.11;11.76;96;115;16;65;38;103;19;108;257;27;164;14;436;31;62;18;18;11;5;794
Reno652;687587.93;4886830.47;0;40644.63;11973.2;44.108866;11.342993;61.15;0.57;13.1;4.4;0.1;2.44;5.5;1.71;2.08;0.13;8.82;75;94;10;52;26;82;15;112;248;27;176;14;397;23;43;13;13;12;2;808
Reno653;702330.64;4903657.91;0;55387.34;28800.64;44.256293;11.533517;59.33;0.48;10.83;3.02;0.09;3.46;9.62;1.76;1.99;0.15;9.27;50;71;5;34;21;56;11;80;219;20;162;10;301;17;46;13;15;10;3;500
Reno654;704085.91;4899841.69;0;57142.61;24984.42;44.22148;11.553997;41.74;0.53;10.75;4.2;0.13;3.38;17.07;0.76;1.93;0.11;19.4;71;97;9;60;29;75;14;108;276;19;154;13;319;33;50;15;13;5;4;728
