Timestamp;Temp. Ambiente
2023-04-23 03:19:59;10.97
2023-04-23 03:39:59;10.97
2023-04-23 03:59:59;10.95
2023-04-23 04:19:58;10.98
2023-04-23 04:39:58;11.01
2023-04-23 04:59:58;11.02
2023-04-23 05:19:58;11.03
2023-04-23 05:39:57;11.03
2023-04-23 05:59:57;11.06
2023-04-23 06:19:57;11.06
2023-04-23 06:39:57;11.12
2023-04-23 06:59:56;11.11
2023-04-23 07:19:56;11.14
2023-04-23 07:39:56;11.2
2023-04-23 07:59:56;11.19
2023-04-23 08:19:56;11.29
2023-04-23 08:39:55;11.32
2023-04-23 08:59:55;11.41
2023-04-23 09:19:55;11.44
2023-04-23 09:39:55;11.46
2023-04-23 09:59:55;11.46
2023-04-23 10:19:54;11.49
2023-04-23 10:39:54;11.51
2023-04-23 10:59:54;11.58
2023-04-23 11:19:54;11.62
2023-04-23 11:39:53;11.65
2023-04-23 11:59:53;12
2023-04-23 12:19:53;12.2
2023-04-23 12:39:53;12.42
2023-04-23 12:59:53;12.64
2023-04-23 13:19:52;12.38
2023-04-23 13:39:52;12.18
2023-04-23 13:59:52;12.08
2023-04-23 14:19:52;12.08
2023-04-23 14:39:51;12.12
2023-04-23 14:59:51;12.05
2023-04-23 15:19:51;12.11
2023-04-23 15:39:51;12.12
2023-04-23 15:59:51;12.51
2023-04-23 16:19:50;13.05
2023-04-23 16:39:50;13.41
2023-04-23 16:59:50;13.41
2023-04-23 17:19:50;12.77
2023-04-23 17:39:49;13.15
2023-04-23 17:59:49;13.12
2023-04-23 18:19:49;12.64
2023-04-23 18:39:49;12.29
2023-04-23 18:59:49;12.11
2023-04-23 19:19:48;12.05
2023-04-23 19:39:48;11.98
2023-04-23 19:59:48;11.87
2023-04-23 20:19:48;11.8
2023-04-23 20:39:47;11.79
2023-04-23 20:59:47;11.74
2023-04-23 21:19:47;11.76
2023-04-23 21:39:47;11.76
2023-04-23 21:59:47;11.71
2023-04-23 22:19:46;11.65
2023-04-23 22:39:46;11.62
2023-04-23 23:59:45;11.55
2023-04-24 00:19:45;11.54
2023-04-24 00:59:45;11.51
2023-04-24 01:19:44;11.5
2023-04-24 01:39:44;11.49
2023-04-24 01:59:44;11.46
2023-04-24 02:19:44;11.48
2023-04-24 02:39:43;11.48
2023-04-24 02:59:46;11.47
2023-04-24 03:19:43;11.44
2023-04-24 03:39:43;11.49
2023-04-24 03:59:43;11.49
2023-04-24 04:19:44;11.49
2023-04-24 04:39:42;11.5
2023-04-24 04:59:42;11.51
2023-04-24 05:19:42;11.49
2023-04-24 05:39:42;11.47
2023-04-24 05:59:41;11.44
2023-04-24 06:19:42;11.49
2023-04-24 06:39:41;11.42
2023-04-24 06:59:41;11.41
2023-04-24 07:19:40;11.39
2023-04-24 07:39:40;11.44
2023-04-24 07:59:40;11.38
2023-04-24 08:19:40;11.41
2023-04-24 08:39:40;11.46
2023-04-24 08:59:39;11.49
2023-04-24 09:19:39;11.5
2023-04-24 09:39:39;11.49
2023-04-24 09:59:39;11.47
2023-04-24 10:19:38;11.49
2023-04-24 10:39:38;11.48
2023-04-24 10:59:38;11.51
2023-04-24 11:19:38;11.58
2023-04-24 11:39:38;11.58
2023-04-24 11:59:37;11.86
2023-04-24 12:19:37;12.21
