X;Y;Z;S;A;Q;C
1416717.603448;4856688.116379;-2.375;771.924105;0.116089;417.79439;2
1416717.775862;4856687.935345;-2.375;790.450148;0.119015;417.304242;2
1416717.948276;4856687.75431;-2.375;809.229384;0.120598;421.612019;2
1416718.12069;4856687.573276;-2.375;827.748603;0.12259;424.252634;2
1416718.293103;4856687.392241;-2.375;842.517882;0.124612;424.813833;2
1416718.465517;4856687.211207;-2.375;852.69949;0.125437;427.120126;2
1416718.637931;4856687.030172;-2.375;860.041543;0.124016;435.732872;2
1416718.810345;4856686.849138;-2.375;863.657444;0.117962;460.021263;2
1416718.982759;4856686.668103;-2.375;861.175188;0.10781;501.894606;2
1416719.155172;4856686.487069;-2.375;856.142769;0.101536;529.792275;2
1416719.327586;4856686.306034;-2.375;846.59104;0.091288;582.690455;2
1416719.5;4856686.125;-2.375;833.458135;0.082247;636.712592;2
1416719.672414;4856685.943966;-2.375;809.76133;0.07798;652.462396;2
1416719.844828;4856685.762931;-2.375;787.248725;0.077429;638.833396;2
1416720.017241;4856685.581897;-2.375;766.240788;0.079669;604.305214;2
1416720.189655;4856685.400862;-2.375;748.558633;0.080946;581.045813;1
1416720.362069;4856685.219828;-2.375;730.633321;0.082314;557.706764;1
1416720.534483;4856685.038793;-2.375;712.79197;0.084566;529.600571;1
1416720.706897;4856684.857759;-2.375;695.904208;0.087514;499.636437;1
1416720.87931;4856684.676724;-2.375;681.269787;0.089354;479.052822;1
1416721.051724;4856684.49569;-2.375;668.360473;0.091437;459.271728;1
1416721.224138;4856684.314655;-2.375;658.415381;0.093797;441.055036;1
1416721.396552;4856684.133621;-2.375;651.133462;0.093392;438.064622;1
1416721.568966;4856683.952586;-2.375;650.905977;0.092259;443.292486;1
1416721.741379;4856683.771552;-2.375;650.815395;0.088188;463.688517;1
1416721.913793;4856683.590517;-2.375;654.407348;0.081161;506.617271;1
1416722.086207;4856683.409483;-2.375;661.767543;0.074589;557.456314;1
1416722.258621;4856683.228448;-2.375;671.790986;0.067327;626.940014;1
1416722.431034;4856683.047414;-2.375;680.59977;0.060831;702.985931;1
1416722.603448;4856682.866379;-2.375;687.552878;0.05672;761.63779;1
1416722.775862;4856682.685345;-2.375;697.366339;0.052425;835.792876;1
1416722.948276;4856682.50431;-2.375;705.925958;0.051382;863.234373;1
1416723.12069;4856682.323276;-2.375;711.381924;0.049399;904.818577;1
1416723.293103;4856682.142241;-2.375;716.768177;0.048438;929.759186;1
1416723.465517;4856681.961207;-2.375;721.67726;0.04784;947.833308;1
1416723.637931;4856681.780172;-2.375;725.267091;0.048158;946.254832;1
1416723.810345;4856681.599138;-2.375;722.56469;0.0481;943.868954;1
1416723.982759;4856681.418103;-2.375;713.477489;0.047476;944.248531;1
1416724.155172;4856681.237069;-2.375;704.230472;0.047381;933.877687;1
1416724.327586;4856681.056034;-2.375;696.847843;0.045533;961.591706;1
1416724.5;4856680.875;-2.375;691.132856;0.043026;1009.267271;1
1416724.672414;4856680.693966;-2.375;682.200228;0.041779;1025.967945;1
1416724.844828;4856680.512931;-2.375;672.642847;0.039488;1070.277946;1
1416725.017241;4856680.331897;-2.375;666.590926;0.039561;1058.691985;1
1416725.189655;4856680.150862;-2.375;661.566185;0.039333;1056.804927;1
1416725.362069;4856679.969828;-2.375;655.82928;0.039384;1046.280441;1
1416725.534483;4856679.788793;-2.375;651.102091;0.03881;1054.106967;1
1416725.706897;4856679.607759;-2.375;647.043719;0.039475;1029.878254;1
1416725.87931;4856679.426724;-2.375;645.22388;0.040877;991.759636;1
1416726.051724;4856679.24569;-2.375;643.730577;0.042177;958.970502;1
1416726.224138;4856679.064655;-2.375;642.05951;0.044266;911.358207;1
1416726.396552;4856678.883621;-2.375;639.677055;0.045838;876.826432;1
1416726.568966;4856678.702586;-2.375;637.973568;0.04809;833.535744;1
1416726.741379;4856678.521552;-2.375;637.689245;0.050559;792.486165;1
1416726.913793;4856678.340517;-2.375;636.524576;0.050972;784.621337;1
1416727.086207;4856678.159483;-2.375;633.777951;0.052232;762.39015;1
1416727.258621;4856677.978448;-2.375;631.085605;0.053394;742.632706;1
1416727.431034;4856677.797414;-2.375;628.364218;0.054665;722.239487;1
1416727.603448;4856677.616379;-2.375;626.236073;0.055883;704.102756;1
1416727.775862;4856677.435345;-2.375;624.250664;0.056097;699.19409;1
1416727.948276;4856677.25431;-2.375;623.420429;0.056291;695.859156;1
1416728.12069;4856677.073276;-2.375;622.402557;0.057609;678.829387;1
1416728.293103;4856676.892241;-2.375;622.990304;0.059694;655.741061;1
1416728.465517;4856676.711207;-2.375;623.499756;0.061923;632.650051;1
1416728.637931;4856676.530172;-2.375;623.550413;0.063925;612.884355;1
1416728.810345;4856676.349138;-2.375;624.651697;0.065656;597.785623;1
1416728.982759;4856676.168103;-2.375;626.658952;0.067547;582.912466;1
1416729.155172;4856675.987069;-2.375;628.433308;0.070839;557.401215;1
1416729.327586;4856675.806034;-2.375;629.600316;0.073621;537.333534;1
1416729.5;4856675.625;-2.375;630.415455;0.074978;528.287123;1
1416729.672414;4856675.443966;-2.375;630.658405;0.078297;506.093311;1
1416729.844828;4856675.262931;-2.375;630.059846;0.081468;485.928578;1
1416730.017241;4856675.081897;-2.375;631.385192;0.084173;471.306647;1
1416730.189655;4856674.900862;-2.375;632.552271;0.086017;462.05194;1
1416730.362069;4856674.719828;-2.375;634.426178;0.087457;455.79389;1
1416730.534483;4856674.538793;-2.375;635.691919;0.089485;446.352387;1
1416730.706897;4856674.357759;-2.375;635.550005;0.091908;434.488434;1
1416730.87931;4856674.176724;-2.375;635.579613;0.093753;425.953668;1
1416731.051724;4856673.99569;-2.375;634.791239;0.093112;428.354803;1
1416731.224138;4856673.814655;-2.375;633.587469;0.092256;431.512593;1
1416731.396552;4856673.633621;-2.375;631.457951;0.092401;429.387944;1
1416731.568966;4856673.452586;-2.375;629.327557;0.091574;431.803132;1
1416731.741379;4856673.271552;-2.375;626.932908;0.090353;435.969523;1
1416731.913793;4856673.090517;-2.375;623.225035;0.087657;446.724092;1
1416732.086207;4856672.909483;-2.375;620.044293;0.084014;463.714756;1
1416732.258621;4856672.728448;-2.375;617.017019;0.078879;491.49032;1
1416732.431034;4856672.547414;-2.375;614.335691;0.071817;537.473141;1
1416732.603448;4856672.366379;-2.375;612.302095;0.064861;593.142429;1
