X;Y;Z;CO2;lCO2;T
m;m;m;[mol/m2];[mol/m2];Celsius
R+;R+;A;R+;R;R+
;;;;; 
relative_X;relative_Y;height;flux;Log_flux;temperature
;;arbitrary 0;;; 
600;450;0;57.4;1.76;31.7
600;425;0;66.37;1.82;33.2
600;400;0;111;2.04;29.3
600;375;0;88.8;1.95;32.8
600;350;0;253;2.40;32.9
600;325;0;337;2.53;38.7
600;300;0;951;2.98;56.0
600;275;0;1219;3.09;47.5
600;250;0;28.54;1.46;30.5
600;225;0;66.67;1.82;36.5
600;200;0;34.96;1.54;36.1
600;175;0;16.30;1.21;41.2
600;150;0;11.95;1.08;33.4
600;125;0;80.40;1.91;33.4
600;100;0;23.7;1.38;27.1
625;600;0;24.6;1.39;32.4
625;575;0;29.7;1.47;33.3
625;550;0;15.6;1.19;32.0
625;525;0;21.9;1.34;32.3
625;500;0;143;2.16;44.0
625;475;0;56.6;1.75;35.0
625;450;0;64.5;1.81;31.0
625;425;0;107.66;2.03;32.4
625;400;0;90.2;1.96;29.2
625;375;0;230.13;2.36;33.8
625;350;0;87.21;1.94;32.7
625;325;0;118.52;2.07;32.9
625;300;0;244.95;2.39;70.6
625;275;0;771;2.89;50.0
625;250;0;9.28;0.97;32.7
625;225;0;6.31;0.80;32.5
625;200;0;13.4;1.13;26.6
625;175;0;6.68;0.82;27.5
625;150;0;15.9;1.20;29.0
625;125;0;8.20;0.91;31.3
625;100;0;3.25;0.51;31.5
650;600;0;2.54;0.41;30.5
650;575;0;2.05;0.31;29.2
650;550;0;0.530;-0.28;29.4
650;525;0;10.3;1.01;29.4
650;500;0;9.28;0.97;32.2
650;475;0;896;2.95;73.9
650;450;0;74.5;1.87;30.9
650;425;0;57.78;1.76;30.5
650;400;0;96.6;1.98;28.8
650;375;0;71.7;1.86;33.2
650;350;0;140;2.15;32.3
650;325;0;701;2.85;37.5
650;300;0;1305;3.12;52.5
650;275;0;497;2.70;69.6
675;600;0;18.8;1.27;34.0
675;575;0;57.1;1.76;32.1
675;550;0;19.2;1.28;32.0
675;525;0;103;2.01;30.6
675;500;0;80.3;1.90;33.7
675;475;0;2136;3.33;46.3
675;450;0;196;2.29;32.4
675;425;0;123.46;2.09;31.0
675;400;0;105;2.02;30.3
675;375;0;132.35;2.12;32.5
675;350;0;513.60;2.71;44.0
675;325;0;254.83;2.41;57.1
700;600;0;12.2;1.09;30.2
700;575;0;14.2;1.15;33.7
700;550;0;81.0;1.91;33.8
700;525;0;62.7;1.80;33.1
700;500;0;48.6;1.69;32.2
700;475;0;27.3;1.44;31.6
700;450;0;236;2.37;35.8
700;425;0;193.59;2.29;29.8
700;400;0;107;2.03;27.4
700;375;0;46.6;1.67;32.7
700;350;0;305;2.48;32.0
700;325;0;538;2.73;43.8
