id;date;east_UTM;north_UTM;forecast
;;m;m; 
V;V;R;R;R+
;;;; 
id_pluv;date;x_coord_UTM;y_coord_UTM;cumulative
;;;; 
4437230085732;090320180800;466078.72;4913510.1;0.069
4437490094577;090320180800;536546.79;4913812.19;0.018
4437780081139;090320180800;429492.03;4914414.23;0.013
4438240085556;090320180800;464682.58;4914639.42;0.014
4438310095842;090320180800;546618.33;4914787.1;0.087
4438400090607;090320180800;504917.75;4914722.91;0.015
4438720080178;090320180800;421848.79;4915545.66;0.01
4438780075472;090320180800;384365.76;4916169.57;0.007
4439170078147;090320180800;405678.73;4916259.58;0.006
4439360092710;090320180800;521665.85;4915823.16;0.037
4439370092710;090320180800;521665.82;4915834.27;0.052
4439920082803;090320180800;442769.09;4916661.34;0.026
4440040089459;090320180800;495774.45;4916544.2;0.019
4440230082722;090320180800;442127.11;4917011.38;0.011
4440290090932;090320180800;507504.17;4916824.69;0.021
4440350086477;090320180800;472029.18;4916947.46;0.029
4440530096205;090320180800;549491.21;4917274.26;0.059
4440580100147;090320180800;580879.56;4917643.25;0.268
4440610096822;090320180800;554403.46;4917402.21;0.02
4440640086246;090320180800;470191.21;4917277.76;0.044
4440670085260;090320180800;462340.33;4917351.8;0.093
4440680095338;090320180800;542586.45;4917392.21;0.183
4440810084122;090320180800;453280.1;4917566.07;0.073
4440840091815;090320180800;514534.17;4917447.4;0.01
4441140088841;090320180800;490854.82;4917771.15;0.054
4441260084118;090320180800;453251.84;4918066.14;0.015
4441390081708;090320180800;434065.55;4918376.64;0.011
4441580084825;090320180800;458883.02;4918383.57;0.05
4441680090091;090320180800;500807.1;4918364.47;0.022
4441810076919;090320180800;395945.07;4919340.92;0.009
4442110093219;090320180800;525707.67;4918892.45;0.022
4442370089726;090320180800;497901.54;4919131.23;0.039
4442420092849;090320180800;522761.06;4919225.87;0.045
4442430094101;090320180800;532727.1;4919279.29;0.073
4442670101731;090320180800;593459.15;4920133.29;0.1018
4442800089343;090320180800;494853.16;4919610.59;0.019
4442850090635;090320180800;505136.95;4919665.99;0.019
4443230088246;090320180800;486122.48;4920101.09;0.048
4443420100317;090320180800;582193.45;4920814.76;0.001
4443430087416;090320180800;479517.18;4920340.75;0.026
4443440089611;090320180800;496986.68;4920320.12;0.024
4443830100928;090320180800;587050.19;4921333.31;0.003
4443850091074;090320180800;508629.73;4920780.41;0.099
4444080090472;090320180800;503838.75;4921031.37;0.051
4444190094786;090320180800;538168.35;4921263.85;0.008
4444250088448;090320180800;487732.36;4921230.83;0.109
4444370091699;090320180800;513602.41;4921366.44;0.248
4444470097844;090320180800;562500.15;4921762.67;0.003
4444560080761;090320180800;426565.71;4921978.53;0.01
4444750096189;090320180800;549328.36;4921960.76;0.028
4444780096994;090320180800;555733.45;4922045.68;0.003
4445530088956;090320180800;491776.66;4922646.21;0.078
4445620087356;090320180800;479047.52;4922774.87;0.032
4445620098232;090320180800;565574.76;4923070.4;0.538
4445960089796;090320180800;498459.75;4923118.74;0.053
4446110093877;090320180800;530924.66;4923358.25;0.285
4446230085809;090320180800;466743.37;4923503.86;0.01
4446270093952;090320180800;531520.44;4923538.83;0.305
4446270093953;090320180800;531528.39;4923538.86;0.008
4446490078827;090320180800;411205.65;4924314.31;0.008
4446490087049;090320180800;476608.58;4923749.6;0.04
4446500085800;090320180800;466673.32;4923804.14;0.07
4446640099205;090320180800;573303.01;4924285.9;0.001
4446780090954;090320180800;507670.96;4924033.8;0.133
4446950086274;090320180800;470446.08;4924285.72;0.253
4447290094588;090320180800;536573.41;4924698.23;0.029
4447420087331;090320180800;478855.15;4924774.92;0.072
