east;north;height;cat;T_CORR
;;;; 
R+;R+;D;;R
;;;;
x_coordinate;y_coordinate;depth;cat;temperature
;;;;
565144.07762551;5037890.18719024;-6947;277;174
553919.79799556;5018096.24785601;-2520;278;79
473069.85724248;4994438.37416682;-5240.9;279;128
576209.98668506;5004148.45602824;-2501.1;280;72
528556.82253996;5045094.15039663;-4444;281;120
620605.03986423;4913550.126973;-2452;282;112
564756.22109248;5001699.17160108;-2511.65;283;72
544087.48853251;5038573.58840274;-5944;284;154
481536.19849357;5043000.93147857;-6465.6;286;182
543855.76949398;5037072.08402409;-4909;287;120
564208.36807085;4983517.60695089;-3749.7;288;95
540069.77704964;5032724.95711101;-2251.15;289;69
481812.09769729;5041222.54643197;-6387.93;290;181
517629.52445059;5000560.23656799;-5183;291;127
585562.9422528;4982856.97419825;-5604.3;292;112
580858.43400258;4982073.49983652;-1894.8;293;66
565144.07762551;5037890.18719024;-7126;294;177
473069.85724248;4994438.37416682;-5585.9;295;136
528556.82253996;5045094.15039663;-4644;296;135
544087.48853251;5038573.58840274;-6056;297;153
481536.19849357;5043000.93147857;-6487.6;299;186
543855.76949398;5037072.08402409;-5639;300;140
481812.09769729;5041222.54643197;-6458.43;301;186
448325.37183209;5016577.62169129;-5086.8;302;147
517629.52445059;5000560.23656799;-5926;303;142
585562.9422528;4982856.97419825;-5864.3;304;115
580858.43400258;4982073.49983652;-1986.8;305;67
543855.76949398;5037072.08402409;-5836;307;141
448325.37183209;5016577.62169129;-5416.8;308;149
585562.9422528;4982856.97419825;-5937.3;309;117
543855.76949398;5037072.08402409;-6225;311;160
448325.37183209;5016577.62169129;-5661.8;312;151
543855.76949398;5037072.08402409;-6355;314;156
